Month,Month_Name,TempMax_C,Rain_mm,Sunlight_h
2015-JAN,JAN,28.72,0.44,15.46
2016-JAN,JAN,31.84,1.19,14.26
2017-JAN,JAN,29.72,0.01,15.72
2018-JAN,JAN,29.56,0.0,16.34
2019-JAN,JAN,27.42,0.0,15.51
2020-JAN,JAN,29.88,0.25,14.39
2021-JAN,JAN,30.08,0.01,14.12
2022-JAN,JAN,26.2,1.16,14.89
2023-JAN,JAN,30.09,0.01,14.08
2024-JAN,JAN,28.41,0.52,12.54
2015-FEB,FEB,32.76,0.55,18.52
2016-FEB,FEB,35.38,0.4,16.87
2017-FEB,FEB,34.27,0.0,18.85
2018-FEB,FEB,33.69,0.0,19.1
2019-FEB,FEB,35.1,0.42,18.94
2020-FEB,FEB,31.27,1.63,15.82
2021-FEB,FEB,35.13,0.01,18.9
2022-FEB,FEB,31.91,0.55,18.87
2023-FEB,FEB,33.55,0.0,19.78
2024-FEB,FEB,33.4,0.34,16.53
2015-MAR,MAR,35.7,0.72,20.75
2016-MAR,MAR,38.55,0.32,19.12
2017-MAR,MAR,36.29,2.23,21.03
2018-MAR,MAR,36.3,0.07,19.61
2019-MAR,MAR,37.1,0.44,20.68
2020-MAR,MAR,35.88,1.62,20.74
2021-MAR,MAR,39.93,0.08,19.63
2022-MAR,MAR,36.21,0.0,21.02
2023-MAR,MAR,34.83,2.44,18.31
2024-MAR,MAR,37.12,1.26,18.75
2015-APR,APR,38.82,3.96,21.37
2016-APR,APR,40.09,0.15,22.52
2017-APR,APR,38.67,0.85,22.65
2018-APR,APR,38.27,3.66,22.51
2019-APR,APR,39.68,1.13,22.86
2020-APR,APR,37.83,2.12,22.4
2021-APR,APR,38.55,0.72,21.59
2022-APR,APR,38.93,0.04,22.0
2023-APR,APR,38.98,2.36,21.59
2024-APR,APR,41.08,0.44,21.57
2015-MAY,MAY,39.92,0.65,22.06
2016-MAY,MAY,39.44,3.82,21.34
2017-MAY,MAY,38.69,1.07,22.77
2018-MAY,MAY,37.26,3.73,21.35
2019-MAY,MAY,37.59,8.46,22.05
2020-MAY,MAY,38.55,2.77,21.94
2021-MAY,MAY,37.99,3.32,21.25
2022-MAY,MAY,38.69,2.88,21.79
2023-MAY,MAY,38.94,1.15,21.23
2024-MAY,MAY,40.83,3.0,21.47
2015-JUN,JUN,35.64,5.72,18.55
2016-JUN,JUN,34.75,6.19,19.71
2017-JUN,JUN,39.05,6.7,14.61
2018-JUN,JUN,38.3,5.81,16.17
2019-JUN,JUN,38.02,4.75,16.86
2020-JUN,JUN,36.38,9.83,18.6
2021-JUN,JUN,36.49,4.79,16.51
2022-JUN,JUN,34.72,1.62,16.63
2023-JUN,JUN,38.45,5.29,17.88
2024-JUN,JUN,36.92,5.26,18.2
2015-JUL,JUL,32.76,6.51,13.67
2016-JUL,JUL,32.45,7.11,15.66
2017-JUL,JUL,32.96,13.16,13.61
2018-JUL,JUL,32.55,15.92,13.7
2019-JUL,JUL,33.75,9.31,15.74
2020-JUL,JUL,32.69,3.95,18.7
2021-JUL,JUL,32.87,6.73,16.31
2022-JUL,JUL,32.3,9.18,15.83
2023-JUL,JUL,33.79,7.82,16.52
2024-JUL,JUL,33.07,9.24,13.92
2015-AUG,AUG,32.0,8.37,17.64
2016-AUG,AUG,32.36,8.35,14.8
2017-AUG,AUG,31.47,8.66,17.2
2018-AUG,AUG,31.86,11.83,14.53
2019-AUG,AUG,32.0,10.79,14.33
2020-AUG,AUG,31.84,9.82,14.44
2021-AUG,AUG,32.92,5.44,18.41
2022-AUG,AUG,32.1,8.91,15.14
2023-AUG,AUG,32.13,5.98,15.46
2024-AUG,AUG,31.56,7.33,14.81
2015-SEP,SEP,31.82,6.16,15.68
2016-SEP,SEP,31.46,7.48,15.62
2017-SEP,SEP,32.13,5.77,17.39
2018-SEP,SEP,31.44,7.84,17.37
2019-SEP,SEP,31.01,13.76,14.45
2020-SEP,SEP,31.88,5.46,18.39
2021-SEP,SEP,30.99,12.56,15.66
2022-SEP,SEP,31.28,8.97,16.64
2023-SEP,SEP,31.22,9.7,15.74
2024-SEP,SEP,31.88,9.89,16.5
2015-OCT,OCT,32.49,2.37,16.92
2016-OCT,OCT,31.59,3.37,17.73
2017-OCT,OCT,31.03,8.19,16.16
2018-OCT,OCT,31.92,5.97,17.15
2019-OCT,OCT,30.81,10.65,16.36
2020-OCT,OCT,30.7,7.61,14.83
2021-OCT,OCT,31.63,5.29,15.95
2022-OCT,OCT,30.33,6.81,16.79
2023-OCT,OCT,31.5,1.16,17.02
2024-OCT,OCT,31.89,2.16,16.76
2015-NOV,NOV,29.67,1.03,14.87
2016-NOV,NOV,28.97,1.6,15.41
2017-NOV,NOV,28.47,3.93,15.13
2018-NOV,NOV,30.0,0.03,16.29
2019-NOV,NOV,29.21,0.12,14.8
2020-NOV,NOV,29.67,0.57,15.33
2021-NOV,NOV,28.79,6.12,13.58
2022-NOV,NOV,28.47,0.0,15.85
2023-NOV,NOV,29.53,0.52,14.5
2024-NOV,NOV,30.55,0.3,14.04
2015-DEC,DEC,29.85,1.39,12.49
2016-DEC,DEC,27.91,0.0,14.43
2017-DEC,DEC,26.85,0.74,14.01
2018-DEC,DEC,27.24,2.08,13.08
2019-DEC,DEC,25.86,0.07,13.49
2020-DEC,DEC,26.81,0.0,14.92
2021-DEC,DEC,26.81,2.93,12.83
2022-DEC,DEC,29.71,0.07,14.03
2023-DEC,DEC,29.1,1.3,13.01
2024-DEC,DEC,29.0,3.35,10.88
